matiere,intitule,reponse,motsCles
Géographie,Quelle est la capitale de la France ?,Paris,Paris
Géographie,Quel est le plus grand océan du monde ?,L'océan Pacifique,Pacifique
Géographie,Quel continent est souvent appelé "le berceau de l'humanité" en raison de ses découvertes archéologiques importantes ?,L'Afrique,Afrique|Africain
Géographie,Quelle est la plus grande chaîne de montagnes d'Amérique du Nord ?,Les montagnes Rocheuses,Montagnes|Rocheuses
Géographie,Quel est le fleuve le plus long d'Asie ?,Le Yangtsé,Yangsté|Yangste
Géographie,Quelle est la capitale du Japon ?,Tokyo,Tokyo
Géographie,Quel pays est situé à la pointe sud du continent africain ?,L'Afrique du Sud,Afrique|Sud
Géographie,Quelle est la plus grande île du monde ?,Groenland,Groenland
Géographie,Quel est le désert le plus sec du monde situé en Amérique du Sud ?,Le désert d'Atacama,Atacama
Géographie,Quel est le plus grand lac d'Afrique ?,Le lac Victoria,Victoria
Géographie,Quel est le pays le plus peuplé du monde ?,La Chine,Chine
Géographie,Quelle est la capitale de l'Inde ?,New Delhi,New;Delhi
Géographie,Quel est le plus grand lac d'Amérique du Nord ?,Le lac Supérieur,Supérieur|Superieur
Géographie,Quel océan est à l'est des États-Unis ?,L'océan Atlantique,Atlantique
Géographie,Quel est le plus grand pays d'Amérique du Sud ?,Le Brésil,Brésil|Bresil
Géographie,Quelle est la capitale de l'Espagne ?,Madrid,Madrid
Géographie,Quel est le point le plus élevé d'Amérique du Sud ?,L'Aconcagua,Aconcagua
Géographie,Quel est le plus grand fleuve d'Amérique du Sud ?,L'Amazone,Amazone
Géographie,Quel est le plus haut sommet d'Afrique ?,Le mont Kilimandjaro,Kilimandjaro
Géographie,Quel est le plus grand océan du monde en superficie ?,L'océan Pacifique,Pacifique
Géographie,Quel est le pays le plus grand d'Europe ?,La Russie,Russie
Géographie,Quel est le désert le plus grand d'Asie situé dans le nord de la Chine et de la Mongolie ?,Le désert de Gobi,Gobi
Géographie,Quel est le plus grand archipel du monde situé en Asie du Sud-Est ?,L'archipel indonésien,Indonésien|Indonesien
Géographie,Quelle est la capitale de l'Italie ?,Rome,Rome
Géographie,Quel est le plus grand désert du monde situé en Antarctique ?,Le désert de l'Antarctique,Antarctique
Géographie,Quel est le fleuve le plus long d'Europe ?,La Volga,Volga
Géographie,Quel océan est à l'ouest de l'Afrique ?,L'océan Atlantique,Atlantique
Géographie,Quel est le plus grand lac du monde en superficie ?,La mer Caspienne,Caspienne
Géographie,Quel est le point le plus bas d'Amérique du Sud situé en Argentine ?,La Laguna del Carbón,Laguna;Carbón
Géographie,Quelle est la capitale du Canada ?,Ottawa,Ottawa
Géographie,Quel est le plus grand pays d'Amérique du Nord ?,Le Canada,Canada
Géographie,Quel est le désert le plus grand d'Afrique situé dans le nord du continent ?,Le désert du Sahara,Sahara
Géographie,Quel est le plus grand archipel du monde situé dans l'océan Pacifique ?,L'archipel indonésien,Indonésien|Indonesien
Géographie,Quel est le plus grand fleuve d'Europe ?,Le Danube,Danube
Géographie,Quel océan est à l'ouest de l'Australie ?,L'océan Indien,Indien
Géographie,Quelle est la capitale de la Chine ?,Pékin,Pékin|Pekin
Géographie,Quel est le désert le plus grand d'Amérique du Nord ?,Le désert du Mojave,Mojave
Géographie,Quelle est la plus grande île de Méditerranée ?,La Sicile,Sicile
Géographie,Quel est le plus grand lac d'Asie situé en Sibérie ?,Le lac Baïkal,Baïkal|Baikal
Géographie,Quel pays est situé à la pointe sud de l'Amérique du Sud ?,L'Argentine,Argentine
Géographie,Quelle est la capitale de l'Allemagne ?,Berlin,Berlin
Géographie,Quel est le plus grand désert de sable du monde ?,Le Sahara,Sahara
Géographie,Quel est le plus grand archipel du monde situé en Asie du Sud-Est ?,L'archipel indonésien,Indonésien|Indonesien
Géographie,Quel est le plus grand lac du Canada ?,Le lac Supérieur,Supérieur|Superieur
Géographie,Quelle est la capitale du Royaume-Uni ?,Londres,Londres
Géographie,Quel est le fleuve qui traverse l'Amazonie en Amérique du Sud ?,L'Amazone,Amazone
Géographie,Quel pays est situé à la pointe sud de l'Afrique ?,L'Afrique du Sud,Afrique;Sud